"Subject","Age","Gender","ProvinceTerritory","postalcode","electionmunicipal","safecommunity","safetransiting","education","childreninhousehold","income","democracy.satisfaction","safety.Canada","safety.city","Visible.Minority"
226,40,"Women","NL","A0N","Yes",8,5,9,0,"$150,000 to $199,999","Very Satisfied","Stayed about the same","Stayed about the same","Yes"
227,38,"Women","AB","T3H","Yes",9,9,10,0,"$150,000 to $199,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
228,41,"Women","ON","L6H","Yes",6,7,9,1,"$200,000 or more","Fairly Neutral","Got worse","Got worse","No"
229,37,"Women","AB","T2J","Yes",10,3,5,1,"$60,000 to $89,999","Not very satisfied","Got worse","Got worse","No"
230,43,"Women","MN","R3X","Yes",8,2,7,0,"$110,000 to $149,999","Neutral","Got worse","Stayed about the same","Yes"
231,33,"Women","QB","J7R","Yes",7,8,5,NA,"Less than $30,000","Fairly Neutral","Got worse","Stayed about the same","No"
232,44,"Men","NS","B0W","Yes",7,6,7,NA,"$30,000 to $59,999","Fairly Neutral","Got worse","Got worse","No"
233,38,"Women","QB","H2L","Don't Know",7,5,5,NA,"$30,000 to $59,999","Very Satisfied","Don't know","Don't know","No"
234,33,"Women","ON","M1W","No",8,3,6,1,"$110,000 to $149,999","Don't know","Got worse","Got worse","No"
235,22,"Men","BC","V5A","No",10,9,7,NA,"$60,000 to $89,999","Neutral","Got better","Got better","No"
236,40,"Men","BC","V6Y","Yes",9,8,9,2,"$200,000 or more","Fairly Neutral","Got worse","Stayed about the same","No"
237,37,"Women","ON","M4C","No",7,7,10,1,"$30,000 to $59,999","Fairly Neutral","Got worse","Got worse","No"
238,35,"Women","BC","V2V","No",7,7,5,4,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Got better","Yes"
239,29,"Women","BC","V8P","No",6,6,9,0,"$90,000 to $109,999","Neutral","Got worse","Got worse","No"
240,42,"Women","BC","V3G","Yes",9,7,5,4,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Got worse","No"
241,26,"Women","ON","K9J","No",3,1,5,0,"Prefer not to say","Don't know","Don't know","Don't know","No"
242,44,"Women","MN","R3R","Yes",8,1,9,1,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","Yes"
243,38,"Women","AB","T5J","Don't Know",6,1,5,0,"Less than $30,000","Neutral","Don't know","Stayed about the same","No"
244,38,"Women","NB","E4S","Don't Know",7,4,5,2,"$30,000 to $59,999","Prefer not to say","Got worse","Stayed about the same","No"
245,66,"Men","QB","G4W","Yes",9,7,9,0,"$60,000 to $89,999","Fairly Neutral","Got worse","Stayed about the same","No"
246,43,"Men","NS","B3M","No",10,8,10,NA,"$90,000 to $109,999","Fairly Neutral","Got worse","Stayed about the same","No"
247,39,"Women","ON","L9W","No",9,9,5,2,"$110,000 to $149,999","Neutral","Stayed about the same","Stayed about the same","No"
248,39,"Men","ON","M1R","Yes",8,3,5,0,"Prefer not to say","Don't know","Don't know","Got worse","Prefer not to say"
249,30,"Women","NS","B0J","Yes",9,5,9,1,"$60,000 to $89,999","Neutral","Got worse","Stayed about the same","No"
250,39,"Women","SK","S6V","No",3,2,9,1,"Less than $30,000","Fairly Neutral","Got worse","Got worse","Yes"
251,44,"Women","ON","M6H","No",6,0,9,0,"$200,000 or more","Very Satisfied","Got worse","Got worse","No"
252,41,"Women","NB","E8P","Yes",10,10,7,1,"Less than $30,000","Not at all satisfied","Got worse","Stayed about the same","No"
253,22,"Women","NL","A1E","Yes",8,2,8,0,"$30,000 to $59,999","Fairly Neutral","Got worse","Got worse","No"
254,42,"Men","NS","B4N","No",10,9,11,3,"$200,000 or more","Fairly Neutral","Stayed about the same","Stayed about the same","No"
255,34,"Women","ON","M6J","Yes",7,7,9,2,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
256,41,"Men","BC","V0A","No",7,8,5,NA,"$60,000 to $89,999","Neutral","Stayed about the same","Got better","No"
257,33,"Men","ON","M4C","Yes",8,9,10,2,"$90,000 to $109,999","Very Satisfied","Got better","Got better","No"
258,38,"Women","ON","M4C","No",4,5,6,1,"$30,000 to $59,999","Prefer not to say","Got worse","Got worse","No"
259,36,"Men","ON","L1Z","Prefer not to say",9,9,9,0,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
260,43,"Women","ON","L5M","Yes",9,0,7,2,"$150,000 to $199,999","Not very satisfied","Got worse","Got better","No"
261,30,"Women","QB","G1E","No",9,8,9,1,"$110,000 to $149,999","Don't know","Don't know","Don't know","No"
262,20,"Women","ON","L3C","No",6,6,5,0,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
263,44,"Men","QB","G0J","Yes",6,5,7,NA,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
264,44,"Women","NB","E1G","No",10,10,9,3,"$110,000 to $149,999","Very Satisfied","Stayed about the same","Got better","No"
265,38,"Women","NB","E1A","Yes",8,7,10,0,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
266,30,"Women","ON","L7P","Yes",7,7,7,0,"$30,000 to $59,999","Neutral","Don't know","Don't know","No"
267,30,"Women","AB","T3C","Yes",5,0,5,2,"$30,000 to $59,999","Very Satisfied","Got worse","Got worse","No"
268,41,"Women","BC","V1H","No",9,6,9,4,"$60,000 to $89,999","Not at all satisfied","Got worse","Stayed about the same","No"
269,39,"Women","ON","L4Z","Yes",8,7,10,0,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","No"
270,34,"Women","NL","A8A","Yes",10,10,5,NA,"Less than $30,000","Fairly Neutral","Stayed about the same","Stayed about the same","No"
271,35,"Men","ON","M3A","Yes",7,6,6,NA,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Got better","No"
272,37,"Women","ON","N9C","Yes",10,8,6,1,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No"
273,42,"Women","ON","P6C","Yes",6,2,7,1,"$30,000 to $59,999","Fairly Neutral","Got worse","Got worse","No"
274,42,"Women","AB","T1L","Yes",7,7,7,0,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
275,39,"Women","ON","M3J","Yes",8,5,9,2,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","No"
276,42,"Women","ON","L9H","No",6,2,7,0,"$90,000 to $109,999","Don't know","Got worse","Got worse","No"
277,42,"Women","ON","K0M","Yes",8,6,6,2,"$110,000 to $149,999","Neutral","Got worse","Stayed about the same","No"
278,44,"Women","ON","P0K","Yes",9,7,9,2,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
279,43,"Women","ON","M4K","Yes",8,8,10,2,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
280,20,"Women","ON","M8W","Don't Know",6,5,8,0,"$60,000 to $89,999","Neutral","Got worse","Stayed about the same","Yes"
281,34,"Women","ON","M1H","Yes",10,5,5,0,"Prefer not to say","Very Satisfied","Got worse","Got worse","No"
282,41,"Men","NS","B3Z","No",7,3,9,3,"$150,000 to $199,999","Not at all satisfied","Stayed about the same","Stayed about the same","No"
283,30,"Women","QB","G7X","No",10,3,6,3,"$30,000 to $59,999","Not at all satisfied","Got worse","Got worse","No"
284,34,"Women","ON","L2J","Yes",5,0,7,1,"$90,000 to $109,999","Not very satisfied","Got worse","Got worse","No"
285,44,"Women","ON","M3A","Yes",5,8,10,4,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
286,22,"Women","QB","J2B","No",7,6,5,1,"$90,000 to $109,999","Neutral","Stayed about the same","Stayed about the same","No"
287,31,"Women","ON","M1G","No",9,8,9,0,"$90,000 to $109,999","Very Satisfied","Got better","Stayed about the same","No"
288,41,"Women","AB","T5Y","Yes",8,2,7,1,"Prefer not to say","Neutral","Stayed about the same","Stayed about the same","No"
289,33,"Women","ON","L1H","Yes",7,5,7,2,"$110,000 to $149,999","Not very satisfied","Got worse","Got worse","No"
290,41,"Men","ON","N8R","Yes",7,8,9,0,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Got worse","No"
291,40,"Women","ON","P0N","Yes",5,0,7,2,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
292,27,"Women","ON","L0S","Yes",7,6,8,0,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
293,43,"Women","AB","T5A","No",5,5,5,0,"Less than $30,000","Neutral","Got worse","Got worse","No"
294,38,"Men","BC","V5G","Yes",7,8,9,1,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
295,39,"Women","ON","L6S","Don't Know",5,5,5,1,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
296,43,"Women","NB","E1C","Yes",6,5,5,0,"Less than $30,000","Fairly Neutral","Got worse","Got worse","No"
297,23,"Men","BC","V6M","No",6,4,9,NA,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
298,37,"Women","AB","T5W","Yes",8,0,9,0,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
299,30,"Women","ON","N0L","Yes",10,9,9,1,"$90,000 to $109,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
300,25,"Women","BC","V3L","Yes",8,8,7,NA,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
301,37,"Men","ON","M1S","No",7,8,8,NA,"Less than $30,000","Not at all satisfied","Got worse","Got worse","No"
302,39,"Men","ON","K2G","Yes",8,5,10,1,"Prefer not to say","Not very satisfied","Got worse","Got worse","No"
303,39,"Women","ON","N0K","No",8,5,9,2,"$60,000 to $89,999","Not at all satisfied","Got worse","Got worse","No"
304,30,"Women","AB","T3L","Yes",9,7,11,0,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
305,34,"Women","ON","L9S","Yes",5,0,5,2,"$30,000 to $59,999","Not at all satisfied","Got worse","Got worse","No"
306,25,"Women","ON","N0P","No",5,6,5,3,"$30,000 to $59,999","Don't know","Don't know","Don't know","No"
307,34,"Men","MN","R8N","Yes",9,10,9,0,"Less than $30,000","Very Satisfied","Got better","Stayed about the same","No"
308,32,"Women","ON","L9K","No",6,7,6,2,"Less than $30,000","Not at all satisfied","Stayed about the same","Got worse","No"
309,40,"Women","ON","L5B","Yes",10,7,9,0,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
310,41,"Men","QB","J2H","No",8,8,9,2,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
311,43,"Women","AB","T7E","No",10,3,6,3,"$90,000 to $109,999","Not at all satisfied","Stayed about the same","Stayed about the same","No"
312,42,"Men","ON","N2M","No",5,7,7,NA,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
313,38,"Men","NL","A1X","No",7,7,7,2,"$60,000 to $89,999","Neutral","Got worse","Stayed about the same","No"
314,39,"Women","QB","G2A","No",7,6,5,NA,"$30,000 to $59,999","Neutral","Don't know","Stayed about the same","No"
315,40,"Women","AB","T7Y","Yes",7,2,7,1,"$200,000 or more","Not very satisfied","Got worse","Stayed about the same","No"
316,41,"Women","ON","M6K","Yes",10,10,9,1,"$110,000 to $149,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
317,34,"Men","ON","L4A","No",9,6,9,0,"Prefer not to say","Fairly Neutral","Don't know","Got worse","No"
318,36,"Women","ON","L8K","No",7,6,7,0,"$110,000 to $149,999","Neutral","Got worse","Got worse","No"
319,35,"Men","ON","L5N","No",7,5,4,NA,"$30,000 to $59,999","Fairly Neutral","Got worse","Got worse","No"
320,41,"Men","AB","T2Y","Yes",8,5,9,1,"$110,000 to $149,999","Not very satisfied","Got worse","Got worse","No"
321,25,"Women","ON","L7L","Yes",10,9,9,0,"$150,000 to $199,999","Fairly Neutral","Got worse","Stayed about the same","No"
322,36,"Men","MN","R6W","No",9,8,5,NA,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Got better","No"
323,43,"Women","ON","P6A","Yes",0,2,6,NA,"Less than $30,000","Not at all satisfied","Got worse","Got worse","No"
324,32,"Women","ON","N7M","Yes",5,6,9,1,"$60,000 to $89,999","Not at all satisfied","Got worse","Got worse","No"
325,40,"Men","AB","T3L","Yes",10,9,1,NA,"$150,000 to $199,999","Very Satisfied","Got better","Got better","No"
326,34,"Women","AB","T1X","No",8,8,7,2,"$110,000 to $149,999","Neutral","Got worse","Got worse","No"
327,30,"Women","AB","T6X","Yes",5,5,7,NA,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
328,38,"Men","AB","T5Y","Yes",3,0,8,1,"$90,000 to $109,999","Not at all satisfied","Got worse","Got worse","No"
329,40,"Women","ON","K0G","Yes",8,7,11,1,"$110,000 to $149,999","Very Satisfied","Got better","Stayed about the same","No"
330,39,"Men","ON","L4J","Yes",9,7,9,0,"Prefer not to say","Fairly Neutral","Got worse","Got worse","No"
331,21,"Women","ON","N8S","Yes",6,4,5,0,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
332,33,"Men","NS","B0K","No",5,5,6,2,"$30,000 to $59,999","Not at all satisfied","Don't know","Don't know","No"
333,25,"Women","BC","V0N","Yes",10,5,9,0,"$110,000 to $149,999","Fairly Neutral","Got worse","Stayed about the same","No"
334,31,"Women","ON","L4G","Yes",5,1,9,0,"$200,000 or more","Not very satisfied","Don't know","Don't know","No"
335,40,"Men","ON","K0L","Yes",10,7,5,0,"$30,000 to $59,999","Not at all satisfied","Got worse","Got worse","No"
336,35,"Men","AB","T5Z","Yes",3,3,11,0,"$200,000 or more","Not at all satisfied","Got worse","Got worse","No"
337,42,"Men","AB","T4L","No",6,4,6,NA,"$60,000 to $89,999","Not at all satisfied","Got worse","Got worse","No"
338,36,"Women","ON","L4N","Yes",2,0,7,2,"$30,000 to $59,999","Not at all satisfied","Got worse","Got worse","No"
339,43,"Men","QB","H2L","Yes",10,10,6,NA,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
340,34,"Men","MN","R3G","No",8,8,7,0,"Less than $30,000","Not very satisfied","Got better","Got better","Yes"
341,37,"Women","ON","M3C","Yes",9,3,10,1,"$60,000 to $89,999","Very Satisfied","Got worse","Got worse","No"
342,33,"Women","NB","E1A","Yes",7,8,10,0,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
343,37,"Men","ON","K2C","Yes",7,7,9,0,"$200,000 or more","Neutral","Stayed about the same","Stayed about the same","No"
344,19,"Women","MN","R3T","No",10,3,5,0,"Less than $30,000","Very Satisfied","Got worse","Got worse","Prefer not to say"
345,40,"Women","ON","N6E","Yes",8,10,7,1,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
346,40,"Women","QB","G0R","No",10,5,7,1,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
347,44,"Men","ON","M3K","Yes",3,3,7,1,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
348,34,"Women","ON","N9V","Yes",9,6,7,2,"$110,000 to $149,999","Neutral","Stayed about the same","Don't know","No"
349,28,"Men","AB","T5T","Yes",9,9,5,2,"Less than $30,000","Very Satisfied","Stayed about the same","Got better","No"
350,44,"Women","ON","L1V","No",8,6,11,2,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
351,31,"Women","BC","V8R","No",8,4,6,0,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
352,31,"Women","ON","L5M","No",8,5,5,0,"$110,000 to $149,999","Don't know","Got worse","Got worse","No"
353,41,"Women","QB","G5L","Yes",10,8,9,2,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
354,32,"Women","ON","K7P","Yes",7,7,6,2,"$150,000 to $199,999","Neutral","Stayed about the same","Got worse","No"
355,25,"Men","ON","P4N","No",8,7,8,0,"$30,000 to $59,999","Not very satisfied","Got worse","Stayed about the same","No"
356,19,"Women","ON","L4T","Yes",5,5,5,0,"$150,000 to $199,999","Neutral","Stayed about the same","Stayed about the same","No"
357,32,"Women","AB","T2S","Yes",4,0,7,NA,"$90,000 to $109,999","Not at all satisfied","Got worse","Got worse","No"
358,26,"Women","ON","L1S","Yes",9,3,9,0,"$110,000 to $149,999","Neutral","Got worse","Got worse","No"
359,26,"Women","BC","V5E","No",4,8,9,0,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Got worse","No"
360,32,"Women","BC","V1Y","No",4,3,7,0,"$90,000 to $109,999","Neutral","Got worse","Got worse","No"
361,44,"Men","ON","L3Z","Yes",9,9,9,2,"$110,000 to $149,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
362,42,"Men","ON","L5L","No",7,6,7,0,"$110,000 to $149,999","Not very satisfied","Got worse","Got worse","No"
363,29,"Men","ON","L5N","Yes",7,7,7,0,"$90,000 to $109,999","Neutral","Stayed about the same","Stayed about the same","No"
364,42,"Women","QB","G2L","No",8,8,7,2,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
365,25,"Women","ON","L6A","No",5,0,6,0,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
366,38,"Men","BC","V3K","Yes",8,4,9,0,"Prefer not to say","Not very satisfied","Got worse","Stayed about the same","Prefer not to say"
367,44,"Men","BC","V8N","No",8,5,9,2,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","No"
368,34,"Women","ON","N0K","Yes",7,3,7,1,"$30,000 to $59,999","Not at all satisfied","Got worse","Got worse","No"
369,37,"Men","BC","V3N","No",10,10,9,0,"$110,000 to $149,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
370,30,"Women","AB","T1Y","Yes",8,8,9,2,"Less than $30,000","Very Satisfied","Got better","Got better","No"
371,29,"Women","ON","N3T","No",6,3,9,0,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
372,32,"Women","ON","L0G","No",8,1,7,0,"$110,000 to $149,999","Not very satisfied","Got worse","Got worse","No"
373,22,"Women","ON","K1N","No",7,8,7,NA,"$150,000 to $199,999","Neutral","Got worse","Stayed about the same","Yes"
374,36,"Women","AB","T3R","Yes",8,8,10,0,"$200,000 or more","Fairly Neutral","Got worse","Got worse","No"
375,37,"Men","ON","N3C","Yes",10,10,9,2,"$150,000 to $199,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
376,40,"Women","ON","N1H","Yes",9,8,4,NA,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Got worse","No"
377,26,"Women","ON","N9G","No",5,6,5,0,"Less than $30,000","Neutral","Don't know","Don't know","No"
378,35,"Men","ON","L9R","Yes",9,1,7,1,"$150,000 to $199,999","Not very satisfied","Got worse","Stayed about the same","No"
379,26,"Women","BC","V9N","No",4,5,4,0,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No"
380,33,"Men","BC","V5T","Yes",7,7,7,NA,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
381,30,"Women","ON","M9L","Yes",3,3,9,0,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
382,43,"Men","BC","V6B","Yes",8,6,9,2,"$60,000 to $89,999","Neutral","Stayed about the same","Don't know","No"
383,29,"Women","ON","L3C","Yes",9,9,10,2,"$90,000 to $109,999","Very Satisfied","Got better","Stayed about the same","No"
384,38,"Men","AB","T2P","No",7,1,9,0,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","No"
385,38,"Men","ON","L6R","Yes",0,0,10,1,"$60,000 to $89,999","Not very satisfied","Got worse","Got worse","No"
386,23,"Men","ON","M4B","No",7,8,9,NA,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
387,24,"Women","ON","N4V","No",6,5,5,0,"Less than $30,000","Very Satisfied","Stayed about the same","Stayed about the same","No"
388,44,"Men","ON","K1T","Yes",6,5,9,1,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
389,33,"Men","ON","M2M","Yes",10,7,4,0,"$30,000 to $59,999","Not at all satisfied","Stayed about the same","Stayed about the same","No"
390,38,"Men","ON","N6K","Yes",8,4,9,0,"$30,000 to $59,999","Very Satisfied","Stayed about the same","Got worse","No"
391,38,"Men","QB","J4T","No",9,7,5,0,"$110,000 to $149,999","Not at all satisfied","Stayed about the same","Stayed about the same","No"
392,25,"Women","BC","V2C","No",8,4,9,0,"Don’t know","Don't know","Don't know","Don't know","No"
393,22,"Men","QB","H7R","No",8,9,5,0,"$90,000 to $109,999","Very Satisfied","Got better","Stayed about the same","No"
394,25,"Men","ON","L4S","No",7,7,5,NA,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
395,38,"Men","ON","M6G","Yes",7,7,7,0,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
396,35,"Women","BC","V6H","Yes",5,4,10,NA,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Got worse","No"
397,44,"Men","ON","M9B","No",8,2,8,NA,"$110,000 to $149,999","Not at all satisfied","Got worse","Got worse","Prefer not to say"
398,28,"Men","ON","M5H","Yes",6,4,9,NA,"$90,000 to $109,999","Not very satisfied","Got worse","Got worse","No"
399,19,"Women","ON","K9I","No",8,8,8,0,"$90,000 to $109,999","Neutral","Got worse","Got worse","No"
400,65,"Men","ON","L4C","No",5,5,9,0,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
401,43,"Men","ON","P1A","Yes",10,10,5,2,"$90,000 to $109,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
402,40,"Men","ON","M9N","Yes",10,10,5,0,"$60,000 to $89,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
403,32,"Women","AB","T2A","Yes",0,0,6,1,"$150,000 to $199,999","Not very satisfied","Got worse","Got worse","No"
404,50,"Women","QB","H3L","Yes",8,9,7,1,"$90,000 to $109,999","Fairly Neutral","Got worse","Stayed about the same","No"
405,40,"Women","QB","J0J","Yes",8,6,9,0,"Less than $30,000","Neutral","Don't know","Stayed about the same","No"
406,42,"Men","ON","L2G","No",6,7,5,0,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
407,27,"Women","ON","L6C","Yes",7,3,7,1,"Prefer not to say","Very Satisfied","Got worse","Got worse","No"
408,32,"Women","NS","B2T","No",7,8,9,0,"Less than $30,000","Not very satisfied","Don't know","Don't know","No"
409,42,"Men","ON","N5W","Yes",7,9,5,1,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
410,31,"Men","ON","L6L","Yes",9,8,9,1,"$110,000 to $149,999","Neutral","Stayed about the same","Stayed about the same","No"
411,37,"Men","ON","M9A","No",5,2,4,2,"$90,000 to $109,999","Not at all satisfied","Got worse","Got worse","No"
412,38,"Men","ON","L6C","Yes",0,0,8,NA,"$30,000 to $59,999","Not very satisfied","Don't know","Prefer not to say","No"
413,33,"Men","ON","M4R","Yes",7,6,9,1,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Got worse","No"
414,33,"Men","ON","K0A","No",10,10,7,0,"$110,000 to $149,999","Not at all satisfied","Stayed about the same","Stayed about the same","Yes"
415,42,"Men","BC","V9R","No",8,8,5,NA,"Less than $30,000","Neutral","Got worse","Got worse","No"
416,31,"Women","ON","M5T","Yes",7,8,9,2,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
417,39,"Women","BC","V9C","No",8,6,7,1,"Prefer not to say","Fairly Neutral","Don't know","Don't know","No"
418,40,"Men","QB","G8Y","Yes",9,9,9,0,"$30,000 to $59,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
419,41,"Women","QB","G3E","No",5,5,5,2,"$90,000 to $109,999","Don't know","Don't know","Don't know","No"
420,40,"Women","ON","M6E","No",8,3,7,1,"$110,000 to $149,999","Not at all satisfied","Got worse","Got worse","No"
421,34,"Women","AB","T0H","No",7,5,6,NA,"Less than $30,000","Not at all satisfied","Don't know","Got worse","No"
422,44,"Women","SK","S4T","Yes",9,7,9,2,"$90,000 to $109,999","Not at all satisfied","Got worse","Got worse","No"
423,25,"Men","ON","M9V","No",10,9,7,0,"$90,000 to $109,999","Very Satisfied","Got better","Stayed about the same","Yes"
424,31,"Women","ON","K0K","Yes",4,4,9,0,"$30,000 to $59,999","Not at all satisfied","Got worse","Got worse","No"
425,29,"Women","BC","V8T","Yes",6,3,7,0,"$110,000 to $149,999","Not very satisfied","Got worse","Got worse","No"
426,26,"Men","BC","V2C","No",8,6,7,0,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
427,30,"Women","AB","T6T","Yes",10,8,8,1,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
428,41,"Women","ON","L5V","Yes",9,7,7,2,"$90,000 to $109,999","Neutral","Got worse","Stayed about the same","No"
429,23,"Women","BC","V3R","Yes",10,10,8,0,"Less than $30,000","Very Satisfied","Got worse","Stayed about the same","Yes"
430,24,"Women","ON","K4A","Yes",6,5,9,NA,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
431,35,"Women","ON","N0G","No",4,10,6,0,"Prefer not to say","Neutral","Got worse","Got worse","No"
432,41,"Women","ON","K0A","Yes",8,8,9,1,"$110,000 to $149,999","Fairly Neutral","Don't know","Don't know","No"
433,34,"Women","AB","T1X","No",8,6,9,1,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
434,34,"Women","QB","J2C","Yes",8,7,9,0,"$110,000 to $149,999","Fairly Neutral","Don't know","Stayed about the same","No"
435,41,"Men","AB","T2M","Yes",9,8,9,2,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
436,33,"Women","BC","V2M","Don't Know",10,3,9,0,"$90,000 to $109,999","Don't know","Got worse","Got worse","No"
437,42,"Men","AB","T5K","No",4,5,9,NA,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","No"
438,32,"Women","QB","J0G","Yes",9,5,7,2,"Less than $30,000","Neutral","Stayed about the same","Don't know","No"
439,33,"Men","ON","L9R","No",8,0,8,0,"Prefer not to say","Don't know","Got worse","Stayed about the same","No"
440,43,"Men","BC","V6X","No",8,9,8,1,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
441,36,"Women","MN","R1C","Yes",2,0,7,1,"$200,000 or more","Not at all satisfied","Got worse","Got worse","No"
442,28,"Women","ON","K8V","Yes",4,5,6,0,"$30,000 to $59,999","Not very satisfied","Got worse","Stayed about the same","No"
443,39,"Men","QB","J1H","Yes",8,7,7,3,"$60,000 to $89,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
444,38,"Men","BC","V0A","No",7,5,10,0,"$200,000 or more","Neutral","Stayed about the same","Stayed about the same","No"
445,31,"Men","AB","T2A","No",3,1,5,0,"Less than $30,000","Not very satisfied","Got worse","Got worse","No"
446,31,"Men","ON","M1T","Yes",7,6,9,2,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Got worse","No"
447,43,"Men","MN","R3T","Yes",3,4,9,NA,"$30,000 to $59,999","Not at all satisfied","Don't know","Don't know","No"
448,40,"Men","QB","J1X","No",10,10,7,NA,"Less than $30,000","Fairly Neutral","Stayed about the same","Stayed about the same","No"
449,19,"Men","NS","B5A","Yes",8,5,5,0,"Don’t know","Neutral","Stayed about the same","Stayed about the same","No"
450,39,"Men","QB","H2S","Yes",7,7,10,NA,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
451,33,"Women","AB","T2Z","Yes",9,7,9,0,"$200,000 or more","Fairly Neutral","Got worse","Got worse","No"
452,28,"Women","AB","T6E","No",6,5,8,NA,"$30,000 to $59,999","Very Satisfied","Got better","Stayed about the same","No"
453,34,"Women","MN","R3P","No",6,5,7,NA,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
