"Subject","Age","Gender","ProvinceTerritory","postalcode","electionmunicipal","safecommunity","safetransiting","education","childreninhousehold","income","democracy.satisfaction","safety.Canada","safety.city","Visible.Minority","city"
944,50,"Men","ON","M6C","Yes",9,7,9,2,"$200,000 or more","Fairly Neutral","Got worse","Got worse","No","Toronto"
945,50,"Men","ON","M2J","No",8,5,6,0,"$30,000 to $59,999","Not at all satisfied","Got worse","Got worse","No","Toronto"
949,50,"Men","AB","T3K","Yes",8,7,7,1,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No","Calgary"
952,54,"Women","ON","M2J","Yes",8,8,9,0,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Got worse","No","Toronto"
954,47,"Women","ON","M5J","Yes",4,3,6,2,"$60,000 to $89,999","Not at all satisfied","Got worse","Got worse","No","Toronto"
959,54,"Men","ON","M1E","No",5,2,9,0,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No","Toronto"
960,60,"Women","AB","T3A","Yes",9,7,9,0,"$90,000 to $109,999","Very Satisfied","Got worse","Got worse","No","Calgary"
964,51,"Women","ON","M4A","Yes",8,6,5,0,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No","Toronto"
968,53,"Men","BC","V5E","Yes",6,6,5,0,"$110,000 to $149,999","Neutral","Stayed about the same","Stayed about the same","No","Metro Vancouver"
973,54,"Women","ON","M3J","Yes",8,6,9,0,"Prefer not to say","Not at all satisfied","Got worse","Got worse","No","Toronto"
974,51,"Women","ON","M2N","Yes",7,5,10,0,"$110,000 to $149,999","Very Satisfied","Got worse","Got worse","No","Toronto"
977,50,"Men","ON","M9M","Yes",8,7,9,1,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","No","Toronto"
981,48,"Women","ON","M3A","Yes",7,3,9,1,"$200,000 or more","Fairly Neutral","Got worse","Got worse","No","Toronto"
983,47,"Men","ON","M3H","Yes",6,4,9,1,"$90,000 to $109,999","Not very satisfied","Got worse","Stayed about the same","No","Toronto"
990,52,"Women","ON","M3H","Yes",6,4,9,0,"$90,000 to $109,999","Neutral","Got worse","Got worse","No","Toronto"
1008,45,"Men","AB","T2X","No",8,4,7,2,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No","Calgary"
1012,54,"Women","AB","T2X","No",5,5,7,1,"$110,000 to $149,999","Don't know","Stayed about the same","Stayed about the same","No","Calgary"
1013,50,"Men","AB","T1X","No",7,6,7,1,"$30,000 to $59,999","Neutral","Got worse","Don't know","No","Calgary"
1015,47,"Women","ON","M3L","No",6,4,5,0,"Less than $30,000","Not at all satisfied","Got worse","Got worse","No","Toronto"
1018,48,"Men","ON","M8V","Yes",9,2,9,0,"$150,000 to $199,999","Not at all satisfied","Got worse","Got worse","No","Toronto"
1026,54,"Men","ON","M4K","Yes",8,7,5,2,"$150,000 to $199,999","Neutral","Got worse","Got worse","No","Toronto"
1028,48,"Men","ON","M8V","Yes",9,2,9,0,"$150,000 to $199,999","Not at all satisfied","Got worse","Got worse","No","Toronto"
1050,46,"Men","BC","V5X","No",6,8,9,3,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","Prefer not to say","Metro Vancouver"
1056,54,"Women","BC","V5E","Prefer not to say",4,4,6,1,"Prefer not to say","Neutral","Got worse","Got worse","No","Metro Vancouver"
1062,50,"Women","AB","T2R","No",2,3,10,2,"$60,000 to $89,999","Very Satisfied","Got worse","Got worse","No","Calgary"
1064,50,"Men","BC","V7C","Yes",8,7,9,2,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","No","Metro Vancouver"
1066,47,"Women","BC","V5P","Yes",4,6,6,3,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No","Metro Vancouver"
1069,45,"Men","BC","V4M","Yes",8,7,9,0,"Less than $30,000","Fairly Neutral","Stayed about the same","Stayed about the same","No","Metro Vancouver"
1070,49,"Men","BC","V7A","Yes",6,7,7,2,"$30,000 to $59,999","Fairly Neutral","Got better","Stayed about the same","No","Metro Vancouver"
1071,50,"Men","BC","V6B","Yes",8,9,9,2,"$60,000 to $89,999","Fairly Neutral","Got worse","Stayed about the same","No","Metro Vancouver"
